PWM;VTotal;VDiodo;CDiodo
130;1,73;0,98;2,39
135;1,86;0,99;2,75
140;2,17;1,01;3,68
145;2,26;0,98;4,07
150;2,52;1;4,81
155;2,79;1,01;5,65
160;2,9;0,99;6,08
165;3,18;1,01;6,87
170;3,39;1,01;7,56
175;3,48;1;7,87
180;3,69;1,01;8,5
185;3,84;1,01;8,97
190;3,88;1;9,14
195;4,04;1,01;9,62
200;4,14;1,01;9,93
205;4,15;1;10,02
210;4,29;1,01;10,43
215;4,37;1,01;10,66
220;4,35;1,01;10,63
225;4,49;1,01;11,05
230;4,55;1,01;11,23
235;4,59;1,01;11,37
240;4,64;1,01;11,53
245;4,69;1,01;11,68
250;4,73;1,01;11,81
255;4,77;1,01;11,95
0;2,26;0,98;4,07
5;0,68;0,68;0,02
10;0,28;0,21;0,22
15;0,12;0,12;0,02
20;0,12;0,12;0
25;0,15;0,18;-0,11
30;0,19;0,19;0
35;0,22;0,22;0
40;0,25;0,25;0
45;0,35;0,32;0,11
50;0,35;0,35;0
55;0,39;0,39;0
60;0,48;0,5;-0,05
65;0,5;0,5;0
70;0,55;0,55;0
75;0,6;0,56;0,12
80;0,75;0,72;0,11
85;0,75;0,75;0,02
90;0,81;0,81;0
95;0,98;0,95;0,08
100;1,01;0,94;0,22
105;1,08;0,95;0,42
110;1,28;0,98;0,93
115;1,32;0,97;1,13
120;1,42;0,97;1,43
125;1,66;1;2,09
130;1,74;0,98;2,41
135;1,86;0,95;2,87
140;2,16;1;3,68
145;2,28;0,98;4,11
150;2,44;1;4,59
155;2,79;1,01;5,66
160;2,92;0,99;6,13
165;3,16;1,01;6,84
170;3,39;1,01;7,56
175;3,49;1;7,91
180;3,69;1,01;8,49
185;3,84;1,01;8,97
190;3,95;1;9,37
195;4,04;1,01;9,6
200;4,14;1,01;9,95
205;4,22;1;10,23
210;4,29;1,01;10,43
215;4,37;1,01;10,68
220;4,36;0,99;10,69
225;4,48;1,01;11,03
230;4,54;1,01;11,22
235;4,58;1,01;11,36
240;4,64;1,01;11,53
245;4,69;1,01;11,68
250;4,73;1,01;11,82
255;4,77;1,01;11,95
0;2,26;0,98;4,07
5;0,66;0,66;0
10;0,2;0,27;-0,22
15;0,12;0,12;0
20;0,12;0,12;0
25;0,15;0,15;0
30;0,2;0,19;0,03
35;0,22;0,22;0
40;0,25;0,25;0
45;0,34;0,35;-0,05
50;0,35;0,35;0,02
55;0,39;0,39;0
60;0,43;0,47;-0,14
65;0,52;0,51;0,05
70;0,55;0,55;0,02
75;0,6;0,59;0,05
80;0,75;0,78;-0,09
85;0,75;0,75;0
90;0,82;0,81;0,02
95;0,98;0,95;0,09
100;1,02;0,94;0,25
105;1,08;0,95;0,42
110;1,27;0,98;0,92
115;1,33;0,97;1,15
120;1,42;0,97;1,43
125;1,65;1;2,08
130;1,74;0,98;2,44
135;1,86;0,98;2,81
140;2,16;1,01;3,66
145;2,29;0,98;4,14
150;2,44;0,99;4,61
155;2,79;1,01;5,65
160;2,93;0,99;6,14
165;3,08;1,01;6,58
170;3,39;1,01;7,56
175;3,56;1;8,15
180;3,68;1,01;8,49
185;3,84;1,01;8,98
190;3,96;1;9,4
195;4,04;1,01;9,6
200;4,14;1,01;9,93
205;4,23;1;10,24
210;4,29;1,01;10,41
215;4,36;1,01;10,66
220;4,37;1;10,69
225;4,48;1,01;11,03
230;4,55;1,01;11,23
235;4,54;1,01;11,2
240;4,64;1,01;11,54
245;4,69;1,01;11,68
250;4,73;1,01;11,82
255;4,77;1,01;11,95
0;2,26;0,98;4,07
5;0,69;0,68;0,02
10;0,21;0,25;-0,14
15;0,12;0,12;0
20;0,13;0,12;0,02
25;0,15;0,15;0
30;0,2;0,19;0,03
35;0,22;0,22;0,02
40;0,25;0,25;0
45;0,35;0,36;-0,03
50;0,35;0,35;0,02
55;0,39;0,39;0
60;0,4;0,49;-0,29
65;0,51;0,5;0,02
70;0,55;0,55;0,02
75;0,6;0,65;-0,14
80;0,75;0,7;0,16
85;0,75;0,75;0,02
90;0,81;0,8;0,03
95;0,98;0,95;0,09
100;1,01;0,94;0,22
105;1,08;0,95;0,4
110;1,28;0,99;0,92
115;1,32;0,96;1,13
120;1,41;0,94;1,49
125;1,66;1;2,11
130;1,73;0,98;2,37
135;1,86;0,99;2,75
140;2,17;1;3,69
145;2,27;0,98;4,08
150;2,43;1;4,55
155;2,79;1,01;5,65
160;2,91;0,99;6,08
165;3,18;1,01;6,89
170;3,39;1,01;7,56
175;3,47;1;7,85
180;3,69;1,01;8,5
185;3,84;1,01;8,97
190;3,87;1;9,12
195;4,04;1,01;9,6
200;4,14;1,01;9,93
205;4,16;1;10,04
210;4,29;1,01;10,41
215;4,37;1,01;10,66
220;4,35;1,01;10,63
225;4,49;1,01;11,05
230;4,55;1,01;11,23
235;4,58;1,01;11,36
240;4,64;1,01;11,53
245;4,69;1,01;11,68
250;4,73;1,01;11,81
255;4,78;1,01;11,96
0;2,26;0,98;4,07
5;0,68;0,68;0,02
10;0,17;0,22;-0,16
15;0,12;0,12;0
20;0,12;0,12;0
25;0,15;0,12;0,09
30;0,19;0,19;0,02
35;0,22;0,22;0
40;0,25;0,25;0
45;0,35;0,33;0,08
50;0,35;0,35;0
55;0,39;0,39;0,02
60;0,48;0,5;-0,06
65;0,51;0,5;0,03
70;0,55;0,55;0
75;0,6;0,65;-0,17
80;0,76;0,7;0,19
85;0,75;0,75;0
90;0,81;0,8;0,03
95;0,98;0,95;0,09
100;1,01;0,94;0,22
105;1,08;0,95;0,42
110;1,28;0,99;0,92
115;1,32;0,96;1,13
120;1,41;0,95;1,47
125;1,66;1;2,09
130;1,73;0,98;2,37
135;1,86;0,99;2,76
140;2,17;1;3,69
145;2,27;0,98;4,1
150;2,44;1;4,56
155;2,79;1,01;5,66
160;2,91;0,99;6,08
165;3,17;1,01;6,87
170;3,39;1,01;7,56
175;3,48;1;7,87
180;3,69;1,01;8,49
185;3,84;1,01;8,97
190;3,88;1;9,15
195;4,04;1,01;9,62
200;4,14;1,01;9,96
205;4,22;1;10,23
210;4,29;1,01;10,43
215;4,36;1,01;10,66
220;4,35;0,99;10,68
225;4,48;1,01;11,03
230;4,55;1,01;11,23
235;4,58;1,01;11,36
240;4,64;1,01;11,54
245;4,69;1,01;11,7
250;4,73;1,01;11,82
255;4,78;1,01;11,96
0;2,26;0,98;4,07
5;0,68;0,68;0,02
10;0,18;0,22;-0,14
15;0,12;0,12;0
20;0,12;0,12;0
25;0,15;0,15;0
30;0,19;0,19;0,02
35;0,22;0,22;0
40;0,25;0,25;0
45;0,35;0,36;-0,03
50;0,35;0,35;0,02
55;0,39;0,39;0,02
60;0,47;0,49;-0,06
65;0,51;0,5;0,03
70;0,55;0,55;0,02
75;0,59;0,66;-0,23
80;0,78;0,7;0,25
85;0,75;0,75;0
90;0,81;0,78;0,09
95;0,98;0,95;0,09
100;1;0,94;0,2
105;1,08;0,95;0,4
110;1,28;0,98;0,93
115;1,32;0,96;1,13
120;1,41;0,96;1,44
125;1,66;1;2,09
130;1,73;0,98;2,39
135;1,86;0,99;2,78
140;2,17;1,01;3,68
145;2,27;0,98;4,1
150;2,44;1;4,56
155;2,79;1,01;5,65
160;2,91;0,99;6,1
165;3,17;1,01;6,87
170;3,39;1,01;7,56
175;3,48;1;7,87
180;3,69;1,01;8,5
185;3,84;1,01;8,98
190;3,88;1;9,15
195;4,04;1,01;9,62
200;4,14;1,01;9,93
205;4,22;1;10,24
210;4,29;1,01;10,41
215;4,36;1,01;10,66
220;4,35;1;10,64
225;4,49;1,01;11,05
230;4,55;1,01;11,23
235;4,59;1,01;11,37
240;4,64;1,01;11,54
245;4,69;1,01;11,68
250;4,73;1,01;11,82
255;4,77;1,01;11,95
0;2,26;0,98;4,07
5;0,68;0,68;0
10;0,2;0,22;-0,08
15;0,12;0,12;0
20;0,12;0,12;0
25;0,15;0,15;0
30;0,2;0,19;0,03
35;0,22;0,22;0
40;0,25;0,25;0
45;0,34;0,36;-0,05
50;0,35;0,35;0
55;0,39;0,39;0,02
60;0,43;0,48;-0,17
65;0,51;0,51;0,02
70;0,55;0,55;0,02
75;0,6;0,57;0,11
80;0,75;0,72;0,11
85;0,75;0,75;0,02
90;0,81;0,81;0
95;0,98;0,95;0,08
100;1,01;0,94;0,22
105;1,08;0,95;0,42
110;1,27;0,98;0,92
115;1,32;0,97;1,13
120;1,42;0,97;1,43
125;1,66;1;2,09
130;1,74;0,98;2,41
135;1,86;0,95;2,89
140;2,16;1;3,68
145;2,28;0,98;4,11
150;2,44;1;4,58
155;2,79;1,01;5,65
160;2,92;0,99;6,13
165;3,08;1,01;6,59
170;3,4;1,01;7,57
175;3,49;1;7,93
180;3,69;1,01;8,49
185;3,84;1,01;8,97
190;3,95;1;9,37
195;4,04;1,01;9,62
200;4,14;1,01;9,93
205;4,22;1;10,23
210;4,29;1,01;10,43
215;4,37;1,01;10,68
220;4,36;1;10,68
225;4,49;1,01;11,05
230;4,55;1,01;11,23
235;4,58;1,01;11,36
240;4,64;1,01;11,53
245;4,69;1,01;11,68
250;4,73;1,01;11,82
255;4,78;1,01;11,96
0;2,26;0,98;4,07
5;0,68;0,68;0,02
10;0,2;0,23;-0,11
15;0,12;0,12;0
20;0,12;0,12;0
25;0,15;0,15;0
30;0,2;0,19;0,02
35;0,22;0,22;0,02
40;0,25;0,25;0
45;0,35;0,39;-0,12
50;0,35;0,35;0,02
55;0,39;0,39;0,02
60;0,48;0,49;-0,05
65;0,51;0,5;0,02
70;0,55;0,55;0,02
75;0,57;0,66;-0,28
80;0,78;0,69;0,26
85;0,75;0,75;0
90;0,81;0,78;0,09
95;0,98;0,95;0,09
100;1;0,94;0,2
105;1,08;0,95;0,4
110;1,28;0,99;0,92
115;1,32;0,96;1,13
120;1,41;0,94;1,49
125;1,66;1;2,09
130;1,73;0,97;2,39
135;1,86;0,99;2,75
140;2,17;1;3,69
145;2,27;0,98;4,08
150;2,43;1,01;4,53
155;2,79;1,01;5,65
160;2,91;0,99;6,1
165;3,18;1,01;6,89
170;3,39;1,01;7,56
175;3,47;0,99;7,87
180;3,69;1,01;8,5
185;3,84;1,01;8,97
190;3,87;1;9,12
195;4,04;1,01;9,62
200;4,14;1,01;9,95
205;4,16;1;10,02
210;4,29;1,01;10,43
215;4,37;1,01;10,68
220;4,35;1,01;10,61
225;4,48;1,01;11,03
230;4,54;1,01;11,22
235;4,59;1,01;11,37
240;4,64;1,01;11,54
245;4,69;1,01;11,7
250;4,73;1,01;11,82
255;4,78;1,01;11,96
0;2,26;0,98;4,07
5;0,68;0,68;0,02
10;0,27;0,21;0,19
15;0,12;0,12;0,02
20;0,12;0,12;0
25;0,15;0,18;-0,09
30;0,19;0,19;0
35;0,22;0,22;0
40;0,25;0,25;0
45;0,36;0,32;0,12
50;0,35;0,35;0
55;0,39;0,39;0,02
60;0,49;0,5;-0,03
65;0,5;0,5;0,02
70;0,55;0,55;0
75;0,57;0,66;-0,29
80;0,78;0,69;0,26
85;0,75;0,75;0
90;0,81;0,78;0,09
95;0,98;0,95;0,09
100;1,01;0,94;0,22
105;1,08;0,95;0,4
110;1,28;0,99;0,93
115;1,31;0,96;1,12
120;1,41;0,94;1,49
125;1,66;1;2,09
130;1,73;0,98;2,37
135;1,86;1;2,73
140;2,17;1,01;3,68
145;2,27;0,98;4,08
150;2,53;1,01;4,84
155;2,79;1,01;5,66
160;2,9;0,99;6,08
165;3,18;1,01;6,87
170;3,39;1,01;7,56
175;3,47;0,99;7,87
180;3,69;1,01;8,5
185;3,84;1,01;8,98
190;3,88;1;9,15
195;4,04;1,01;9,62
200;4,14;1,01;9,95
205;4,16;1;10,04
210;4,29;1,01;10,43
215;4,36;1,01;10,66
220;4,35;1;10,64
225;4,49;1,01;11,05
230;4,55;1,01;11,23
235;4,59;1,01;11,37
240;4,64;1,01;11,54
245;4,69;1,01;11,68
250;4,73;1,01;11,82
255;4,77;1,01;11,95
0;2,26;0,98;4,07
5;0,68;0,68;0
10;0,18;0,22;-0,14
15;0,12;0,12;0
20;0,12;0,12;0
25;0,15;0,15;0
30;0,19;0,19;0
35;0,22;0,22;0
40;0,26;0,25;0,02
45;0,35;0,36;-0,03
50;0,35;0,35;0
55;0,39;0,39;0,02
60;0,4;0,49;-0,29
65;0,51;0,5;0,03
70;0,55;0,55;-0,02
75;0,6;0,65;-0,14
80;0,75;0,7;0,16
85;0,75;0,75;0,02
90;0,81;0,8;0,03
95;0,98;0,95;0,09
100;1,01;0,94;0,22
105;1,08;0,95;0,4
110;1,28;0,98;0,93
115;1,32;0,96;1,13
120;1,41;0,95;1,47
125;1,66;1;2,11
130;1,73;0,98;2,39
135;1,86;0,99;2,75
140;2,17;1;3,69
145;2,27;0,98;4,08
150;2,43;1;4,55
155;2,79;1,01;5,66
160;2,91;0,99;6,1
165;3,18;1,01;6,87
170;3,39;1,01;7,56
175;3,48;0,99;7,88
180;3,69;1,01;8,5
185;3,84;1,01;8,97
190;3,88;1;9,14
195;4,04;1,01;9,62
200;4,14;1,01;9,93
205;4,22;1;10,24
210;4,29;1,01;10,41
215;4,37;1,01;10,66
220;4,36;1;10,68
225;4,49;1,01;11,05
230;4,55;1,01;11,23
235;4,59;1,01;11,37
240;4,64;1,01;11,53
245;4,69;1,01;11,68
250;4,73;1,01;11,81
255;4,77;1,01;11,95
0;2,26;0,98;4,07
5;0,68;0,68;0
10;0,18;0,22;-0,14
15;0,12;0,12;0
20;0,12;0,12;0
25;0,15;0,14;0,02
30;0,19;0,19;0,02
35;0,22;0,22;0
40;0,25;0,25;0
45;0,35;0,39;-0,11
50;0,35;0,35;0,02
55;0,39;0,39;0,02
60;0,48;0,49;-0,05
65;0,5;0,5;0
70;0,55;0,55;0,02
75;0,6;0,65;-0,19
80;0,76;0,7;0,19
85;0,75;0,75;0,02
90;0,81;0,78;0,09
95;0,99;0,95;0,11
100;1;0,94;0,2
105;1,08;0,95;0,4
110;1,28;0,99;0,93
115;1,32;0,96;1,13
120;1,41;0,94;1,49
125;1,66;1;2,09
130;1,72;0,98;2,36
135;1,85;0,99;2,72
140;2,17;1;3,69
145;2,26;0,98;4,07
150;2,43;1;4,55
155;2,79;1,01;5,66
160;2,91;0,99;6,08
165;3,18;1,01;6,87
170;3,39;1,01;7,56
175;3,47;0,99;7,87
180;3,69;1,01;8,5
185;3,84;1,01;8,97
190;3,87;1;9,12
195;4,04;1,01;9,62
200;4,14;1,01;9,95
205;4,16;1;10,04
210;4,29;1,01;10,43
215;4,37;1,01;10,68
220;4,35;1,01;10,63
225;4,48;1,01;11,03
230;4,54;1,01;11,22
235;4,59;1,01;11,37
240;4,64;1,01;11,54
245;4,69;1,01;11,68
250;4,73;1,01;11,82
255;4,78;1,01;11,96
0;2,26;0,98;4,07
5;0,68;0,68;0
10;0,17;0,22;-0,16
15;0,12;0,12;0
20;0,12;0,12;0
25;0,15;0,15;0
30;0,19;0,19;0,02
35;0,22;0,22;0
40;0,25;0,25;0
45;0,35;0,37;-0,06
50;0,35;0,35;0,02
55;0,39;0,39;0,02
60;0,48;0,49;-0,05
65;0,5;0,5;0,02
70;0,55;0,55;0
75;0,6;0,65;-0,16
80;0,75;0,7;0,17
85;0,75;0,75;0
90;0,81;0,81;0
95;0,98;0,95;0,08
100;1,01;0,94;0,22
105;1,08;0,95;0,42
110;1,28;0,98;0,93
115;1,32;0,96;1,15
120;1,41;0,97;1,41
125;1,66;1;2,09
130;1,74;0,98;2,41
135;1,86;0,95;2,89
140;2,17;1,01;3,68
145;2,28;0,98;4,11
150;2,44;1;4,56
155;2,79;1,01;5,66
160;2,91;0,99;6,1
165;3,17;1,01;6,87
170;3,39;1,01;7,56
175;3,48;0,99;7,9
180;3,69;1,01;8,5
185;3,84;1,01;8,97
190;3,89;1;9,19
195;4,04;1,01;9,62
200;4,14;1,01;9,96
205;4,22;1;10,24
210;4,29;1,01;10,41
215;4,36;1,01;10,66
220;4,35;0,99;10,68
225;4,48;1,01;11,03
230;4,55;1,01;11,23
235;4,59;1,01;11,37
240;4,64;1,01;11,54
245;4,69;1,01;11,68
250;4,73;1,01;11,82
255;4,77;1,01;11,95
0;2,26;0,98;4,05
5;0,68;0,68;0,02
10;0,17;0,22;-0,16
15;0,12;0,12;0,02
20;0,12;0,12;0
25;0,15;0,11;0,12
30;0,19;0,19;0,02
35;0,22;0,22;0
40;0,25;0,25;0
45;0,35;0,32;0,11
50;0,35;0,35;0,02
55;0,39;0,39;0
60;0,49;0,5;-0,03
65;0,5;0,5;0,02
70;0,55;0,55;0
75;0,57;0,66;-0,29
80;0,79;0,69;0,29
85;0,75;0,74;0,02
90;0,81;0,86;-0,17
95;0,99;0,95;0,11
100;1;0,94;0,2
105;1,08;0,92;0,48
110;1,28;0,98;0,95
115;1,31;0,96;1,1
120;1,41;0,98;1,35
125;1,66;1;2,11
130;1,72;0,97;2,37
135;1,84;1;2,67
140;2,17;1;3,71
145;2,26;0,98;4,05
150;2,54;1,01;4,87
155;2,79;1,01;5,65
160;2,9;0,99;6,07
165;3,19;1,01;6,9
170;3,4;1,01;7,57
175;3,47;0,99;7,85
180;3,7;1,01;8,52
185;3,84;1,01;8,98
190;3,87;1;9,11
195;4,04;1,01;9,64
200;4,14;1,01;9,95
205;4,14;1;9,99
210;4,29;1,01;10,43
215;4,37;1,01;10,68
220;4,35;1,01;10,63
225;4,49;1,01;11,05
230;4,55;1,01;11,23
235;4,59;1,01;11,37
240;4,64;1,01;11,54
245;4,69;1,01;11,68
250;4,73;1,01;11,81
255;4,77;1,01;11,95
0;2,26;0,98;4,07
5;0,68;0,68;0,02
10;0,27;0,21;0,19
15;0,12;0,12;0
20;0,12;0,12;0
25;0,15;0,1;0,14
30;0,19;0,19;0,02
35;0,22;0,22;0
40;0,25;0,25;0
45;0,36;0,32;0,12
50;0,35;0,35;0
55;0,39;0,39;0
60;0,48;0,49;-0,05
65;0,5;0,5;0
70;0,55;0,55;0,02
75;0,6;0,65;-0,16
80;0,75;0,7;0,16
85;0,75;0,74;0,03
90;0,81;0,8;0,03
95;0,98;0,95;0,09
100;1,01;0,94;0,22
105;1,08;0,95;0,42
110;1,28;0,98;0,93
115;1,32;0,97;1,12
120;1,41;0,96;1,44
125;1,66;1;2,09
130;1,73;0,97;2,41
135;1,86;0,99;2,75
140;2,16;1;3,68
145;2,27;0,98;4,08
150;2,43;1;4,55
155;2,79;1,01;5,66
160;2,91;0,99;6,08
165;3,17;1,01;6,87
170;3,39;1,01;7,56
175;3,48;1;7,88
180;3,69;1,01;8,5
185;3,84;1,01;8,97
190;3,88;1;9,15
195;4,04;1,01;9,62
200;4,14;1,01;9,95
205;4,22;1;10,23
210;4,3;1,01;10,43
215;4,37;1,01;10,68
220;4,36;0,99;10,69
225;4,48;1,01;11,03
230;4,54;1,01;11,22
235;4,58;1,01;11,36
240;4,64;1,01;11,53
245;4,69;1,01;11,68
250;4,73;1,01;11,82
255;4,78;1,01;11,96
0;2,26;0,98;4,07
5;0,68;0,68;0,02
10;0,18;0,22;-0,14
15;0,12;0,12;0
20;0,12;0,12;0
25;0,15;0,15;0
30;0,19;0,19;0,02
35;0,22;0,22;0
40;0,25;0,25;0
45;0,35;0,36;-0,03
50;0,35;0,35;0,02
55;0,39;0,39;0,02
60;0,47;0,49;-0,06
65;0,5;0,5;0
70;0,55;0,55;0,02
75;0,6;0,65;-0,14
80;0,75;0,71;0,14
85;0,75;0,75;0,02
90;0,81;0,8;0,03
95;0,98;0,95;0,09
100;1,01;0,94;0,2
105;1,08;0,95;0,42
110;1,28;0,99;0,92
115;1,32;0,96;1,13
120;1,41;0,95;1,47
125;1,66;1;2,09
130;1,73;0,98;2,39
135;1,86;0,99;2,76
140;2,17;1;3,69
145;2,27;0,98;4,1
150;2,44;1,01;4,55
155;2,79;1,01;5,66
160;2,91;0,99;6,1
165;3,18;1,01;6,89
170;3,39;1,01;7,56
175;3,47;0,99;7,87
180;3,69;1,01;8,5
185;3,84;1,01;8,97
190;3,88;1;9,14
195;4,04;1,01;9,62
200;4,14;1,01;9,95
205;4,16;1;10,04
210;4,29;1,01;10,43
215;4,36;1,01;10,66
220;4,35;1;10,64
225;4,48;1,01;11,03
230;4,54;1,01;11,22
235;4,59;1,01;11,37
240;4,64;1,01;11,54
245;4,69;1,01;11,7
250;4,73;1,01;11,82
255;4,77;1,01;11,95
0;2,26;0,98;4,05
5;0,68;0,68;0,02
10;0,17;0,22;-0,16
15;0,12;0,12;0,02
20;0,12;0,12;0
25;0,15;0,17;-0,08
30;0,19;0,19;0
35;0,22;0,22;0
40;0,25;0,25;0
45;0,35;0,32;0,09
50;0,35;0,35;0
55;0,39;0,39;0
60;0,47;0,49;-0,06
65;0,51;0,5;0,02
70;0,55;0,55;0
75;0,6;0,65;-0,16
80;0,75;0,7;0,16
85;0,75;0,75;0,02
90;0,81;0,8;0,03
95;0,98;0,95;0,09
100;1,01;0,94;0,22
105;1,08;0,95;0,4
110;1,28;0,98;0,93
115;1,32;0,96;1,13
120;1,41;0,95;1,47
125;1,66;1;2,09
130;1,73;0,98;2,39
135;1,86;0,99;2,75
140;2,17;1;3,69
145;2,27;0,98;4,08
150;2,43;1;4,55
155;2,79;1,01;5,65
160;2,91;0,99;6,1
165;3,17;1,01;6,87
170;3,39;1,01;7,56
175;3,48;1;7,88
180;3,69;1,01;8,5
185;3,84;1,01;8,97
190;3,88;1;9,15
