PWM;VTotal;VDiodo;CDiodo
90;1.19;0.27;2.92
95;0.87;0.25;1.96
100;0.83;0.25;1.83
105;1.51;0.28;3.88
110;1.10;0.26;2.67
115;1.13;0.26;2.76
120;2.14;0.30;5.83
125;0.57;0.22;1.12
130;0.00;0.00;0.00
135;4.46;0.34;13.10
140;3.02;0.29;8.67
145;0.15;0.08;0.20
150;3.74;0.33;10.81
155;2.79;0.31;7.87
160;1.80;0.27;4.84
165;3.27;0.32;9.36
170;3.49;0.35;9.98
175;2.78;0.31;7.84
180;3.59;0.33;10.35
185;3.76;0.33;10.91
190;3.96;0.33;11.51
195;3.96;0.33;11.53
200;3.31;0.32;9.51
205;4.21;0.34;12.30
210;4.68;0.34;13.78
215;0.00;0.00;0.00
220;4.75;0.34;14.00
225;4.75;0.34;14.00
230;0.04;0.00;0.14
235;4.33;0.34;12.66
240;4.50;0.34;13.20
245;3.94;0.34;11.44
250;4.66;0.34;13.73
255;4.72;0.34;13.92
0;1.87;0.29;5.01
5;0.57;0.23;1.07
10;0.20;0.16;0.14
15;0.12;0.11;0.05
20;0.12;0.11;0.05
25;0.18;0.14;0.11
30;0.19;0.15;0.11
35;0.22;0.16;0.17
40;0.33;0.23;0.31
45;0.30;0.19;0.34
50;0.33;0.20;0.43
55;0.52;0.23;0.93
60;0.42;0.21;0.67
65;0.46;0.22;0.78
70;0.47;0.25;0.70
75;0.61;0.23;1.18
80;0.63;0.23;1.26
85;0.67;0.25;1.33
90;1.14;0.31;2.65
95;0.86;0.25;1.92
100;0.92;0.22;2.23
105;1.25;0.28;3.07
110;1.11;0.26;2.68
115;1.18;0.27;2.87
120;1.54;0.29;3.99
125;1.47;0.27;3.79
130;1.71;0.29;4.52
135;1.92;0.30;5.14
140;1.92;0.29;5.17
145;2.22;0.30;6.10
150;2.45;0.31;6.80
155;2.49;0.30;6.95
160;2.84;0.32;8.01
165;3.07;0.32;8.74
170;3.14;0.31;8.97
175;3.45;0.33;9.90
180;3.58;0.33;10.33
185;3.62;0.32;10.49
190;3.84;0.33;11.14
195;3.97;0.33;11.54
200;3.99;0.33;11.61
205;4.15;0.33;12.12
210;4.24;0.34;12.38
215;4.29;0.34;12.55
220;4.37;0.34;12.80
225;4.43;0.33;13.00
230;4.49;0.34;13.17
235;4.55;0.34;13.36
240;4.58;0.34;13.48
245;4.64;0.34;13.67
250;4.69;0.34;13.81
255;4.73;0.34;13.95
0;2.12;0.29;5.80
5;0.60;0.23;1.18
10;0.18;0.14;0.11
15;0.11;0.10;0.02
20;0.13;0.11;0.05
25;0.15;0.13;0.06
30;0.18;0.15;0.09
35;0.29;0.17;0.39
40;0.26;0.18;0.26
45;0.29;0.19;0.33
50;0.37;0.24;0.39
55;0.39;0.21;0.57
