PWM;VTotal;VDiodo;CDiodo
95;0.79;0.17;1.99
100;0.98;0.22;2.41
105;1.01;0.17;2.67
110;1.11;0.18;2.96
115;1.28;0.23;3.32
120;1.32;0.19;3.62
125;1.49;0.20;4.08
130;1.67;0.23;4.56
135;1.74;0.20;4.89
140;1.96;0.22;5.55
145;2.18;0.22;6.24
150;2.29;0.22;6.59
155;2.58;0.23;7.46
160;2.82;0.23;8.22
165;2.94;0.23;8.60
170;3.22;0.24;9.46
175;3.43;0.24;10.12
180;3.49;0.23;10.33
185;3.72;0.24;11.03
190;3.86;0.25;11.47
195;3.94;0.25;11.71
200;4.06;0.25;12.09
205;4.11;0.25;12.26
210;4.22;0.25;12.58
215;4.30;0.25;12.83
220;4.31;0.25;12.89
225;4.42;0.25;13.24
230;4.49;0.26;13.42
235;4.54;0.26;13.58
240;4.59;0.26;13.76
245;4.64;0.26;13.92
250;4.68;0.26;14.04
255;4.73;0.26;14.18
0;2.11;0.21;6.04
5;0.56;0.15;1.32
10;0.19;0.09;0.33
15;0.11;0.06;0.14
20;0.12;0.07;0.16
25;0.14;0.08;0.20
30;0.19;0.09;0.31
35;0.22;0.10;0.37
40;0.24;0.08;0.53
45;0.31;0.12;0.61
50;0.33;0.12;0.68
55;0.37;0.12;0.78
60;0.45;0.15;0.98
65;0.47;0.14;1.07
70;0.52;0.14;1.19
75;0.61;0.16;1.44
80;0.65;0.16;1.55
85;0.69;0.16;1.71
90;0.80;0.17;2.02
95;0.87;0.17;2.22
100;0.92;0.17;2.37
105;1.04;0.18;2.73
110;1.20;0.19;3.21
115;1.20;0.18;3.24
120;1.37;0.20;3.72
125;1.54;0.20;4.25
130;1.58;0.20;4.41
135;1.80;0.21;5.04
140;2.00;0.22;5.65
145;2.09;0.21;5.96
150;2.37;0.22;6.80
155;2.61;0.27;7.42
160;2.72;0.22;7.91
165;3.02;0.24;8.83
170;3.25;0.27;9.45
175;3.32;0.22;9.84
180;3.57;0.24;10.57
185;3.73;0.25;11.05
190;3.82;0.25;11.34
195;3.95;0.25;11.75
200;4.05;0.25;12.07
205;4.13;0.25;12.32
210;4.22;0.25;12.60
215;4.25;0.24;12.72
220;4.36;0.25;13.05
225;4.43;0.25;13.27
230;4.47;0.25;13.39
235;4.54;0.26;13.58
240;4.59;0.26;13.75
245;4.63;0.26;13.89
250;4.68;0.26;14.04
255;4.73;0.26;14.18
0;2.11;0.21;6.04
5;0.62;0.15;1.49
10;0.18;0.08;0.29
15;0.11;0.06;0.16
20;0.12;0.07;0.14
25;0.15;0.08;0.23
30;0.18;0.08;0.29
35;0.21;0.06;0.48
40;0.26;0.10;0.51
45;0.29;0.11;0.57
50;0.33;0.12;0.67
55;0.42;0.13;0.90
60;0.43;0.13;0.93
65;0.46;0.14;1.04
70;0.55;0.15;1.29
75;0.59;0.15;1.40
80;0.63;0.15;1.54
85;0.73;0.16;1.80
90;0.79;0.16;1.99
95;0.84;0.17;2.14
100;0.95;0.18;2.45
105;1.10;0.18;2.95
110;1.10;0.18;2.93
115;1.25;0.19;3.38
120;1.40;0.19;3.85
125;1.44;0.19;3.97
130;1.64;0.20;4.58
135;1.83;0.21;5.14
140;1.90;0.21;5.38
145;2.16;0.22;6.18
150;2.39;0.22;6.87
155;2.50;0.22;7.25
160;2.81;0.23;8.18
165;3.04;0.24;8.89
170;3.13;0.22;9.23
175;3.41;0.24;10.07
180;3.59;0.24;10.61
185;3.70;0.24;10.95
190;3.85;0.25;11.42
195;3.91;0.24;11.65
200;4.05;0.25;12.06
205;4.15;0.25;12.37
210;4.17;0.23;12.49
215;4.29;0.25;12.82
220;4.36;0.25;13.05
225;4.41;0.25;13.20
230;4.48;0.25;13.42
235;4.54;0.26;13.59
240;4.59;0.26;13.75
245;4.64;0.26;13.90
250;4.69;0.26;14.04
255;4.73;0.26;14.20
0;2.12;0.21;6.05
5;0.59;0.15;1.40
10;0.17;0.08;0.28
15;0.11;0.07;0.11
20;0.12;0.07;0.17
25;0.15;0.08;0.22
30;0.18;0.08;0.31
35;0.22;0.10;0.39
40;0.25;0.10;0.47
45;0.28;0.08;0.65
50;0.36;0.12;0.74
55;0.38;0.13;0.79
60;0.42;0.13;0.90
65;0.51;0.19;1.01
70;0.53;0.14;1.23
75;0.57;0.15;1.35
80;0.67;0.16;1.63
85;0.71;0.16;1.77
90;0.76;0.16;1.92
95;0.88;0.17;2.25
100;0.95;0.17;2.48
105;1.00;0.17;2.64
110;1.14;0.19;3.04
115;1.25;0.19;3.37
120;1.31;0.19;3.58
125;1.50;0.20;4.13
130;1.64;0.20;4.58
135;1.73;0.20;4.86
140;1.97;0.21;5.60
145;2.19;0.22;6.28
150;2.28;0.18;6.67
155;2.59;0.22;7.49
160;2.83;0.23;8.24
165;2.93;0.22;8.58
170;3.23;0.24;9.48
175;3.43;0.24;10.12
180;3.54;0.24;10.47
185;3.72;0.24;11.03
190;3.80;0.24;11.28
195;3.95;0.25;11.75
200;4.06;0.25;12.09
205;4.08;0.23;12.21
210;4.22;0.25;12.60
215;4.30;0.25;12.86
220;4.35;0.25;12.99
225;4.42;0.25;13.24
230;4.49;0.25;13.44
235;4.54;0.25;13.61
240;4.59;0.25;13.76
245;4.64;0.25;13.92
250;4.68;0.26;14.04
255;4.73;0.26;14.18
0;2.11;0.21;6.04
5;0.56;0.15;1.32
10;0.17;0.09;0.26
15;0.11;0.06;0.14
20;0.12;0.07;0.16
25;0.15;0.13;0.05
30;0.18;0.09;0.29
35;0.21;0.10;0.36
40;0.24;0.10;0.45
45;0.30;0.11;0.59
50;0.33;0.12;0.67
55;0.37;0.08;0.92
60;0.50;0.14;1.16
65;0.47;0.14;1.07
70;0.51;0.14;1.18
75;0.62;0.19;1.37
80;0.65;0.15;1.57
85;0.69;0.16;1.71
90;0.81;0.17;2.02
95;0.86;0.17;2.19
100;0.91;0.17;2.36
105;1.05;0.18;2.76
110;1.12;0.18;2.99
115;1.20;0.18;3.23
120;1.38;0.20;3.75
125;1.48;0.19;4.08
130;1.57;0.20;4.38
135;1.81;0.21;5.07
140;1.94;0.21;5.51
145;2.08;0.20;5.96
150;2.38;0.22;6.84
155;2.55;0.22;7.39
160;2.71;0.22;7.88
165;3.03;0.23;8.86
170;3.19;0.23;9.37
175;3.38;0.24;9.98
180;3.58;0.24;10.58
185;3.67;0.24;10.89
190;3.84;0.24;11.40
195;3.96;0.25;11.78
200;3.99;0.24;11.90
205;4.14;0.25;12.35
210;4.23;0.25;12.63
215;4.28;0.25;12.79
220;4.36;0.25;13.06
225;4.43;0.25;13.28
230;4.48;0.25;13.41
235;4.54;0.25;13.59
240;4.59;0.24;13.79
245;4.64;0.25;13.92
250;4.68;0.25;14.06
255;4.73;0.25;14.20
0;2.12;0.21;6.07
5;0.61;0.15;1.46
10;0.18;0.08;0.29
15;0.11;0.06;0.16
20;0.14;0.07;0.23
25;0.15;0.07;0.23
30;0.18;0.08;0.29
35;0.22;0.10;0.37
40;0.26;0.10;0.50
45;0.29;0.11;0.57
50;0.31;0.12;0.62
55;0.39;0.12;0.84
60;0.42;0.13;0.93
65;0.46;0.12;1.10
70;0.58;0.15;1.38
75;0.58;0.14;1.40
80;0.63;0.15;1.52
85;0.74;0.16;1.86
90;0.78;0.16;1.97
95;0.84;0.16;2.16
100;0.96;0.17;2.51
105;1.02;0.17;2.72
110;1.09;0.17;2.93
115;1.26;0.18;3.43
120;1.34;0.18;3.68
125;1.43;0.16;4.05
130;1.65;0.20;4.62
135;1.76;0.20;4.97
140;1.89;0.20;5.38
145;2.17;0.21;6.22
150;2.32;0.21;6.70
155;2.48;0.22;7.20
160;2.81;0.22;8.21
165;2.96;0.22;8.70
170;3.20;0.23;9.42
175;3.41;0.23;10.09
180;3.51;0.23;10.43
185;3.71;0.24;11.02
190;3.85;0.24;11.47
195;3.89;0.23;11.59
200;4.05;0.24;12.10
205;4.15;0.24;12.41
210;4.20;0.24;12.55
215;4.30;0.24;12.86
220;4.36;0.25;13.06
225;4.42;0.24;13.25
230;4.48;0.24;13.45
235;4.54;0.24;13.62
240;4.59;0.24;13.79
245;4.64;0.24;13.95
250;4.68;0.24;14.09
255;4.73;0.25;14.21
0;2.12;0.20;6.08
5;0.58;0.14;1.40
10;0.17;0.08;0.28
15;0.11;0.06;0.17
20;0.12;0.06;0.20
25;0.14;0.07;0.23
30;0.20;0.09;0.33
35;0.22;0.09;0.42
40;0.25;0.09;0.50
45;0.29;0.11;0.59
50;0.34;0.11;0.73
55;0.37;0.11;0.82
60;0.39;0.12;0.87
65;0.49;0.13;1.16
70;0.52;0.13;1.26
75;0.57;0.12;1.43
80;0.68;0.15;1.69
85;0.70;0.14;1.78
90;0.76;0.12;2.03
95;0.88;0.16;2.30
100;0.93;0.16;2.47
105;1.00;0.16;2.65
110;1.15;0.17;3.12
115;1.22;0.17;3.35
120;1.30;0.13;3.74
125;1.51;0.19;4.19
130;1.60;0.18;4.50
135;1.72;0.19;4.87
140;1.98;0.20;5.66
145;2.11;0.20;6.07
150;2.32;0.21;6.72
155;2.59;0.21;7.56
160;2.74;0.21;8.04
165;3.00;0.22;8.81
170;3.23;0.22;9.54
175;3.34;0.22;9.91
180;3.56;0.22;10.58
185;3.72;0.23;11.08
190;3.77;0.22;11.26
195;3.95;0.23;11.81
200;4.06;0.23;12.15
205;4.08;0.23;12.21
210;4.22;0.23;12.65
215;4.30;0.24;12.89
220;4.35;0.23;13.08
225;4.42;0.23;13.30
230;4.49;0.23;13.50
235;4.54;0.24;13.64
240;4.59;0.24;13.81
245;4.61;0.23;13.89
250;4.68;0.24;14.10
255;4.73;0.24;14.24
0;2.11;0.19;6.10
5;0.55;0.13;1.35
10;0.17;0.07;0.31
15;0.11;0.05;0.19
20;0.12;0.05;0.20
25;0.17;0.07;0.33
30;0.18;0.07;0.34
35;0.21;0.08;0.42
40;0.26;0.11;0.48
45;0.29;0.10;0.62
50;0.33;0.10;0.71
55;0.32;0.11;0.68
60;0.43;0.12;1.01
65;0.47;0.12;1.12
70;0.51;0.12;1.24
75;0.65;0.13;1.66
80;0.64;0.13;1.61
85;0.69;0.09;1.91
90;0.81;0.15;2.09
95;0.85;0.15;2.23
100;0.91;0.15;2.41
105;1.06;0.16;2.84
110;1.11;0.16;3.04
115;1.19;0.12;3.41
120;1.38;0.18;3.82
125;1.46;0.18;4.07
130;1.56;0.18;4.41
135;1.81;0.19;5.14
140;1.92;0.19;5.51
145;2.13;0.20;6.13
150;2.38;0.21;6.89
155;2.52;0.20;7.35
160;2.78;0.21;8.16
165;3.03;0.22;8.92
170;3.15;0.22;9.33
175;3.40;0.22;10.09
180;3.58;0.22;10.64
185;3.64;0.22;10.86
190;3.84;0.23;11.45
195;3.96;0.23;11.85
200;4.02;0.23;12.03
205;4.14;0.23;12.40
210;4.23;0.23;12.68
215;4.29;0.23;12.86
220;4.36;0.23;13.11
225;4.39;0.23;13.22
230;4.48;0.23;13.48
235;4.54;0.23;13.67
240;4.58;0.24;13.78
245;4.64;0.24;13.96
250;4.68;0.24;14.10
255;4.73;0.24;14.24
0;2.11;0.19;6.10
5;0.60;0.13;1.49
10;0.17;0.07;0.33
15;0.11;0.04;0.22
20;0.12;0.06;0.20
25;0.15;0.06;0.26
30;0.18;0.07;0.33
35;0.23;0.09;0.47
40;0.25;0.09;0.53
45;0.28;0.10;0.59
50;0.36;0.14;0.68
55;0.38;0.11;0.87
60;0.42;0.11;0.96
65;0.49;0.12;1.16
70;0.53;0.12;1.30
75;0.58;0.13;1.43
80;0.65;0.14;1.61
85;0.73;0.14;1.88
90;0.77;0.14;1.99
